z_m,n_m3,p_m3,E_fn_eV,E_fp_eV
0.0,10000000000.0,10000000000.0,3.1,3.1
3.333333333333333e-10,4.951518981931688e+17,2.4580943870494705e+18,3.531373637805766,2.573870961386509
6.666666666666666e-10,9.834318296935361e+17,4.88183845923134e+18,3.522446193062497,2.5294663206436496
9.999999999999999e-10,1.46484459428188e+18,7.271265543344e+18,3.5060804138059614,2.4924999982564198
1.3333333333333333e-09,1.9393949757352282e+18,9.626408793431044e+18,3.486668513656871,2.4585797804955596
1.6666666666666665e-09,2.407087751830949e+18,1.1947301200933929e+19,3.4655869533224224,2.426329206628143
1.9999999999999997e-09,2.8679276943508367e+18,1.4233975594843935e+19,3.4434488356487454,2.3951351737961257
2.333333333333333e-09,3.321919569085196e+18,1.6486464641853432e+19,3.4205812001832046,2.3646706424441737
2.6666666666666666e-09,3.769068135836917e+18,1.8704800846506414e+19,3.39717925312289,2.3347404063687156
3e-09,4.2093781484255544e+18,2.088901655134836e+19,3.373368899885135,2.3052185601465984
3.333333333333333e-09,4.642854354691393e+18,2.3039143937075364e+19,3.349236101755369,2.2760191424869163
3.666666666666667e-09,5.069501496499516e+18,2.51552150226826e+19,3.3248421657941254,2.2470808463238394
3.9999999999999994e-09,5.489324309743872e+18,2.723726166561204e+19,3.3002323535859635,2.2183584100676232
4.3333333333333324e-09,5.902327524351328e+18,2.9285315561899504e+19,3.275441032279117,2.189817466564927
4.666666666666666e-09,6.308515864285727e+18,3.1299408246320992e+19,3.2504949112394614,2.1614313064448103
5e-09,6.707894047551937e+18,3.3279571092538335e+19,3.225415159336281,2.1331787608329607
5.333333333333333e-09,7.100466786199901e+18,3.5225835313244123e+19,3.2002188375024123,2.1050427687915434
5.666666666666666e-09,7.486238786328678e+18,3.713823196030594e+19,3.174919896226431,2.077009379827001
6e-09,7.865214748090486e+18,3.901679192490995e+19,3.1495298874924247,2.0490670419502797
6.333333333333334e-09,8.237399365694729e+18,4.086154593770366e+19,3.124058483970347,2.021206082486481
6.666666666666666e-09,8.602797327412041e+18,4.267252456893816e+19,3.0985138648733965,1.9934183222174693
6.999999999999999e-09,8.961413315578301e+18,4.4449758228609516e+19,3.072903007570823,1.96569678376907
7.333333333333334e-09,9.313252006598664e+18,4.6193277166599545e+19,3.047231911295799,1.9380354679031933
7.666666666666667e-09,9.65831807095158e+18,4.790311147281589e+19,3.0215057710804913,1.9104291795827735
7.999999999999999e-09,9.996616173192806e+18,4.957929107733138e+19,2.9957291146415983,1.882873391086215
8.333333333333332e-09,1.0328150971959425e+19,5.1221845750522675e+19,2.9699059112996733,1.855364133088078
8.666666666666665e-09,1.0652927119973847e+19,5.283080510320831e+19,2.944039659519048,1.8278979071191563
9e-09,1.0970949264047819e+19,5.440619858678593e+19,2.9181334579133367,1.8004716145609663
9.333333333333333e-09,1.1282222045086419e+19,5.594805549336892e+19,2.89219006332698,1.7730824985642069
9.666666666666666e-09,1.1586750098092059e+19,5.7456404955922285e+19,2.8662119387156344,1.7457280961683699
1e-08,1.1884538052168477e+19,5.893127594839786e+19,2.84020129290157,1.718406198546343
1.0333333333333333e-08,1.217559053052472e+19,6.03726972858689e+19,2.8141601138033234,1.6911148177747535
1.0666666666666666e-08,1.2459912150479133e+19,6.178069762466381e+19,2.788090196383193,1.6638521588864748
1.1e-08,1.2737507523463342e+19,6.315530546249942e+19,2.761993166288112,1.6366165962297567
1.1333333333333332e-08,1.300838125502623e+19,6.449654913861331e+19,2.7358704999554226,1.6094066533624436
1.1666666666666667e-08,1.3272537944837902e+19,6.58044568338957e+19,2.7097235417984527,1.5822209858664027
1.2e-08,1.352998218669367e+19,6.707905657102044e+19,2.6835535189654367,1.5550583665886073
1.2333333333333333e-08,1.3780718568518007e+19,6.832037621457548e+19,2.6573615540706044,1.5279176729100383
1.2666666666666668e-08,1.402475167236851e+19,6.952844347119249e+19,2.6311486762217795,1.50079787571809
1.2999999999999999e-08,1.4262086074439868e+19,7.0703285889675985e+19,2.6049158306097935,1.4736980298171631
1.3333333333333332e-08,1.4492726345067799e+19,7.184493086113163e+19,2.578663886877959,1.4466172655591778
1.3666666666666665e-08,1.4716677048733014e+19,7.295340561909385e+19,2.552393646452125,1.4195547815135292
1.3999999999999998e-08,1.4933942744065155e+19,7.402873723965286e+19,2.5261058489813073,1.3925098380264536
1.4333333333333331e-08,1.5144527983846748e+19,7.507095264158096e+19,2.4998011780141938,1.3654817515445226
1.4666666666666667e-08,1.534843731501713e+19,7.608007858645806e+19,2.4734802660166055,1.3384698895971812
1.5000000000000002e-08,1.5545675278676388e+19,7.70561416787967e+19,2.4471436988184534,1.311473666349794
1.5333333333333335e-08,1.5736246410089296e+19,7.799916836616626e+19,2.4207920195650714,1.2844925386523118
1.5666666666666665e-08,1.5920155238689235e+19,7.890918493931645e+19,2.3944257322365035,1.2575260025199806
1.5999999999999998e-08,1.6097406288082117e+19,7.978621753230028e+19,2.3680453047889403,1.2305735899919066
1.633333333333333e-08,1.6268004076050307e+19,8.063029212259626e+19,2.3416511719646333,1.2036348663211474
1.6666666666666664e-08,1.6431953114556539e+19,8.144143453122986e+19,2.3152437378100297,1.1767094274565704
1.6999999999999997e-08,1.6589257909747829e+19,8.221967042289441e+19,2.2888233779363505,1.1497968977822757
1.733333333333333e-08,1.6739922961959375e+19,8.296502530607122e+19,2.262390441552128,1.1228969280850634
1.7666666666666666e-08,1.6883952765718477e+19,8.36775245331491e+19,2.2359452532932558,1.0960091937243783
1.8e-08,1.702135180974842e+19,8.435719330054313e+19,2.2094881148727272,1.0691333929825708
1.8333333333333332e-08,1.7152124576972384e+19,8.500405664881277e+19,2.1830193065693484,1.0422692455761928
1.8666666666666665e-08,1.7276275544517325e+19,8.561813946277947e+19,2.1565390885722246,1.0154164913115005
1.8999999999999998e-08,1.7393809183717876e+19,8.619946647164322e+19,2.130047702195717,0.9885748888695023
1.933333333333333e-08,1.7504729960120226e+19,8.674806224909884e+19,2.1035453709777117,0.9617442147076913
1.9666666666666664e-08,1.7609042333485996e+19,8.72639512134513e+19,2.0770323016724594,0.9349242620672042
2e-08,1.7706750757796137e+19,8.774715762773051e+19,2.0505086851478644,0.9081148400755296
2.0333333333333333e-08,1.779785968125478e+19,8.819770559980542e+19,2.0239746971959134,0.8813157729360854
2.0666666666666666e-08,1.7882373546293123e+19,8.86156190824974e+19,1.9974304992638559,0.8545268991970326
